Record_number,Study_midyear,YearsOfData,Lat,Lon,Site,Latitude,Longitude,Site2,Study_number,Elevation,Biome,Ecosystem_type,Leaf_habit,MAT,MAP,Meas_method,Partition_method,Stage,Rs_annual,Ra_annual,Rh_annual,Rh_ratio,Mean.Temp.,ΔMean.Temp.,Stdev.Temp.30y,Mean.Precip.,ΔMean.Precip.,Stdev.Precip.30y,Latitude2,ΔMAT.Standardized,ΔMAP.Standardized,SOC_015,SOC_200
14,2001.5,1.5,55.75,-98.25,55.75 -98.25,55.88,-98.48,55.88 -98.48,2534,256.9,Boreal,Evergreen Forest,Evergreen,0.8,450,IRGA,Exclusion,Mature,375,23,352,0.938666667,-5.744444444,-3.270746528,1.212676664,33.66111111,-8.386805556,7.08704456,55.88,-2.697129933,-1.18339958,230658,154770
33,1991,1,46.25,-89.75,46.25 -89.75,46.17,-89.67,46.17 -89.67,951,512.3,Temperate,Evergreen Forest,Evergreen,4.2,586,Alkali absorption,Exclusion,Mature,541,362,496,0.916820702,4.958333333,0.618489583,1.103023101,81.99166667,15.94192708,10.34532922,46.17,0.560722239,1.540978228,39480,0
34,1991,1,46.25,-89.75,46.25 -89.75,46.17,-89.67,46.17 -89.67,951,512.3,Temperate,Evergreen Forest,Evergreen,4.2,586,Alkali absorption,Exclusion,Mature,478,88,390,0.815899582,4.958333333,0.618489583,1.103023101,81.99166667,15.94192708,10.34532922,46.17,0.560722239,1.540978228,39480,0
35,1992,1,46.25,-89.75,46.25 -89.75,46.17,-89.67,46.17 -89.67,951,512.3,Temperate,Evergreen Forest,Evergreen,4.2,586,Alkali absorption,Exclusion,Mature,483,147,336,0.695652174,3.95,-0.38984375,1.103023101,71.23333333,5.18359375,10.34532922,46.17,-0.353432081,0.501056432,42328,0
36,1992,1,46.25,-89.75,46.25 -89.75,46.17,-89.67,46.17 -89.67,951,512.3,Temperate,Evergreen Forest,Evergreen,4.2,586,Alkali absorption,Exclusion,Mature,374,43,331,0.885026738,3.95,-0.38984375,1.103023101,71.23333333,5.18359375,10.34532922,46.17,-0.353432081,0.501056432,31255,0
37,1993,1,46.25,-89.75,46.25 -89.75,46.17,-89.67,46.17 -89.67,951,512.3,Temperate,Evergreen Forest,Evergreen,4.2,586,Alkali absorption,Exclusion,Mature,505,362,496,0.982178218,3.066666667,-1.273177083,1.103023101,68.075,2.025260417,10.34532922,46.17,-1.154261486,0.195765681,31255,0
38,1993,1,46.25,-89.75,46.25 -89.75,46.17,-89.67,46.17 -89.67,951,512.3,Temperate,Evergreen Forest,Evergreen,4.2,586,Alkali absorption,Exclusion,Mature,404,14,390,0.965346535,3.066666667,-1.273177083,1.103023101,68.075,2.025260417,10.34532922,46.17,-1.154261486,0.195765681,34475,0
39,1991,1,42.25,-72.25,42.25 -72.25,42.5,-72.15,42.5 -72.15,754,313,Temperate,Deciduous Forest,Deciduous,6,1172,Alkali absorption,Exclusion,Mature,371,122,249,0.67115903,10.1,1.168229167,0.702486291,101.175,1.445572917,14.99273115,42.5,1.66299212,0.096418251,36445,15237
46,1997.5,1,50.25,11.75,50.25 11.75,50.13,11.87,50.13 11.87,1565,770,Temperate,Evergreen Forest,Evergreen,5.8,890,IRGA,Exclusion,Aggrading,710,210,500,0.704225352,7.166666667,-0.159635417,0.803988898,65.00833333,-4.926302083,10.68211725,50.13,-0.198554255,-0.461172815,124950,38108
47,1997.5,1,50.25,11.75,50.25 11.75,50.13,11.87,50.13 11.87,1565,770,Temperate,Evergreen Forest,Evergreen,5.8,890,IRGA,Exclusion,Aggrading,710,210,500,0.704225352,7.166666667,-0.159635417,0.803988898,65.00833333,-4.926302083,10.68211725,50.13,-0.198554255,-0.461172815,130305,38108
48,1997.5,1,50.25,11.75,50.25 11.75,50.13,11.87,50.13 11.87,1565,770,Temperate,Evergreen Forest,Evergreen,5.8,890,IRGA,Exclusion,Aggrading,710,210,500,0.704225352,7.166666667,-0.159635417,0.803988898,65.00833333,-4.926302083,10.68211725,50.13,-0.198554255,-0.461172815,124950,38108
60,1997,1,36.25,-79.25,36.25 -79.25,36.07,-79.1,36.07 -79.1,1416,160.9,Temperate,Evergreen Forest,Evergreen,15.5,1140,Isotope,Isotope,Aggrading,956,289,667,0.697698745,13.975,-0.718489583,0.584544719,115.7916667,18.59114583,15.04395726,36.07,-1.229143913,1.235788264,12410,1560
65,1995,3,-42.75,172.75,-42.75 172.75,42.87,172.75,-42.87 172.75,1263,198,Temperate,Evergreen Forest,Evergreen,10.8,658,IRGA,Subtraction,Aggrading,950,640,310,0.326315789,10.96388889,-0.491059028,0.429776145,55.73611111,10.11553819,11.36083371,-42.87,-1.142592564,0.890386961,42328,14250
69,2001,1.5,64.75,-147.75,64.75 -147.75,64.8,-147.87,64.8 -147.87,3179,580,Boreal,Evergreen Forest,Evergreen,-3.3,269,IRGA,Exclusion,Mature,296,135,161,0.543918919,2.777777778,4.624392361,1.052674936,26,0.809375,5.030106169,64.8,4.392991799,0.160906146,110449,35181
70,2001,1.5,64.75,-147.75,64.75 -147.75,64.8,-147.87,64.8 -147.87,3179,184,Boreal,Evergreen Forest,Evergreen,-3.3,269,IRGA,Exclusion,Mature,206,34,172,0.834951456,2.777777778,4.624392361,1.052674936,26,0.809375,5.030106169,64.8,4.392991799,0.160906146,110449,35181
71,2001,1.5,64.75,-147.75,64.75 -147.75,64.8,-147.87,64.8 -147.87,3179,124,Boreal,Evergreen Forest,Evergreen,-3.3,269,IRGA,Exclusion,Mature,192,28,164,0.854166667,2.777777778,4.624392361,1.052674936,26,0.809375,5.030106169,64.8,4.392991799,0.160906146,79477,35181
72,1997,1,48.75,7.25,48.75 7.25,48.67,7.08,48.67 7.08,1438,305,Temperate,Deciduous Forest,Deciduous,9.2,820,IRGA,Exclusion,Aggrading,660,264,396,0.6,8.575,-0.974479167,0.700860628,73.175,2.061979167,8.289291286,48.67,-1.390403638,0.248752167,33189,6068
73,1997,1,48.75,7.25,48.75 7.25,48.67,7.08,48.67 7.08,1777,305,Temperate,Deciduous Forest,Deciduous,9.2,820,IRGA,Exclusion,Aggrading,660,343,317,0.48030303,8.575,-0.974479167,0.700860628,73.175,2.061979167,8.289291286,48.67,-1.390403638,0.248752167,52470,6068
78,1995,1,-2.75,-47.75,-50.5,2.98,-47.52,-50.5,1009,0,Tropical,Evergreen Forest,Evergreen,NA,1750,IRGA,Isotope,Mature,2400,1510,890,0.370833333,NA,NA,NA,NA,NA,NA,-2.98,NA,NA,42328,14250
88,1998.5,2,53.75,-105.25,53.75 -105.25,53.99,-105.12,53.99 -105.12,2396,591,Boreal,Evergreen Forest,Evergreen,2.3375,33.45416667,IRGA,Exclusion,Mature,564,124,440,0.780141844,2.3375,1.31875,0.968395411,33.45416667,-3.499739583,6.15050785,53.99,1.361788775,-0.569016359,42328,101250
89,1998.5,2,53.75,-105.25,53.75 -105.25,53.99,-105.12,53.99 -105.12,2396,591,Boreal,Evergreen Forest,Evergreen,2.3375,33.45416667,IRGA,Exclusion,Mature,319,54,265,0.830721003,2.3375,1.31875,0.968395411,33.45416667,-3.499739583,6.15050785,53.99,1.361788775,-0.569016359,147852,101250
90,1999,1,60.25,17.25,60.25 17.25,60.08,17.5,60.08 17.5,1925,45,Boreal,Evergreen Forest,Evergreen,5.5,527,IRGA,Extraction,Mature,98,29,69,0.704081633,4.55,-0.7015625,0.862872303,61.08333333,14.06901042,6.403501827,60.08,-0.813054837,2.197080722,146278,52080
91,1999,1,60.25,17.25,60.25 17.25,60.08,17.5,60.08 17.5,1925,45,Boreal,Evergreen Forest,Evergreen,5.5,527,IRGA,Extraction,Mature,149,49,100,0.67114094,4.55,-0.7015625,0.862872303,61.08333333,14.06901042,6.403501827,60.08,-0.813054837,2.197080722,82295,52080
92,1999,1,44.25,-121.75,44.25 -121.75,44.5,-121.52,44.5 -121.52,2037,1053.2,Temperate,Evergreen Forest,Evergreen,7.5,552,IRGA,Extraction,Aggrading,519,265,248,0.477842004,3.575,-0.491145833,0.544925798,150.0416667,26.5328125,27.05208584,44.5,-0.901307729,0.980804684,41640,2860
93,1999,1,44.25,-121.75,44.25 -121.75,44.42,-121.51,44.42 -121.51,2037,1093.5,Temperate,Evergreen Forest,Evergreen,8.1,524,IRGA,Extraction,Mature,499,235,276,0.553106212,3.575,-0.491145833,0.544925798,150.0416667,26.5328125,27.05208584,44.42,-0.901307729,0.980804684,42717,7140
94,2000,1,44.25,-121.75,44.25 -121.75,44.5,-121.52,44.5 -121.52,2037,1053.2,Temperate,Evergreen Forest,Evergreen,7.5,552,IRGA,Extraction,Aggrading,427,265,248,0.580796253,4.125,0.058854167,0.544925798,126.2666667,2.7578125,27.05208584,44.5,0.108004001,0.101944542,44190,2860
95,2000,1,44.25,-121.75,44.25 -121.75,44.42,-121.51,44.42 -121.51,2037,1093.5,Temperate,Evergreen Forest,Evergreen,8.1,524,IRGA,Extraction,Mature,597,275,322,0.539363484,4.125,0.058854167,0.544925798,126.2666667,2.7578125,27.05208584,44.42,0.108004001,0.101944542,42717,7140
96,2001,1,44.25,-121.75,44.25 -121.75,44.5,-121.52,44.5 -121.52,2037,1053.2,Temperate,Evergreen Forest,Evergreen,7.5,552,IRGA,Extraction,Aggrading,505,265,248,0.491089109,3.341666667,-0.724479167,0.544925798,69.01666667,-54.4921875,27.05208584,44.5,-1.329500584,-2.014343287,44190,2860
97,2001,1,44.25,-121.75,44.25 -121.75,44.42,-121.51,44.42 -121.51,2037,1093.5,Temperate,Evergreen Forest,Evergreen,8.1,524,IRGA,Extraction,Mature,483,235,276,0.571428571,3.341666667,-0.724479167,0.544925798,69.01666667,-54.4921875,27.05208584,44.42,-1.329500584,-2.014343287,42328,7140
98,1996.5,1,44.25,-121.75,44.25 -121.75,44.42,-121.51,44.42 -121.51,1470,1093.5,Temperate,Evergreen Forest,Evergreen,8.1,600,IRGA,Subtraction,Mature,683,277,406,0.59443631,3.716666667,-0.349479167,0.544925798,211.725,88.21614583,27.05208584,44.42,-0.641333495,3.260973899,32567,7140
99,1999,1,53.75,-105.25,53.75 -105.25,53.99,-105.12,53.99 -105.12,4181,591,Boreal,Evergreen Forest,Evergreen,1.5,405,None,Subtraction,Mature,592,143,449,0.758445946,1.925,0.90625,0.968395411,35.69166667,-1.262239583,6.15050785,53.99,0.935826409,-0.205225262,185444,101250
100,1999,1,35.75,-84.25,35.75 -84.25,35.99,-84.29,35.99 -84.29,4181,265.7,Temperate,Deciduous Forest,Deciduous,14,1400,None,Subtraction,Mature,753,395,359,0.476759628,15.94166667,0.8875,0.624967177,101.2416667,-9.398177083,20.8347065,35.99,1.420074579,-0.451082768,16074,4584
101,1999,1,-2.75,-50.25,-52.75,2.58,-50.1,-52.68,4181,0,Tropical,Evergreen Forest,Evergreen,26,2200,None,Subtraction,Mature,1650,680,970,0.587878788,NA,NA,NA,NA,NA,NA,-2.58,NA,NA,42328,14250
103,1996,1,42.75,-72.25,42.75 -72.25,42.9,-72.3,42.9 -72.3,1600,175.3,Temperate,Deciduous Forest,Deciduous,6,1172,IRGA,Isotope,Mature,840,270,570,0.678571429,6.475,-0.745052083,0.67802442,110.75,13.8671875,13.42023061,42.9,-1.0988573,1.03330471,52470,15910
104,1991,1.5,-42.25,172.25,-42.25 172.25,42.22,172.25,-42.22 172.25,4182,400,Temperate,Deciduous Forest,Deciduous,9.8,2000,Alkali absorption,Extraction,Mature,650,150,501,0.770769231,8.066666667,-1.118229167,0.488513413,129.8833333,24.68177083,17.45392074,-42.22,-2.289044963,1.4141104,52470,19236
107,2000,1,64.25,19.75,64.25 19.75,64.23,19.77,64.23 19.77,1794,186,Boreal,Evergreen Forest,Evergreen,1,600,Mass spectrometer,Comparison,Mature,275,149,127,0.461818182,3.241666667,0.286458333,0.754425005,48.975,-3.7640625,8.558312026,64.23,0.379704187,-0.439813656,42328,40610
108,1994,1,37.25,-122.25,37.25 -122.25,37.4,-122.23,37.4 -122.23,1185,159.8,Temperate,Grassland,Evergreen,14,511,Gas Chromatography,Isotope,Mature,323,179,144,0.445820433,13.10833333,-0.265625,0.530386976,43.2,-23.56901042,23.17969229,37.4,-0.500813579,-1.016795656,18972,7555
113,1992,1,54.25,10.25,54.25 10.25,54.1,10.23,54.1 10.23,1823,30,Temperate,Deciduous Forest,Deciduous,8.1,575,IRGA,Extraction,Mature,1754,1234,520,0.296465222,9.783333333,0.65546875,0.746978214,49.875,-7.3421875,9.50245248,54.1,0.877493798,-0.772662375,82472,45200
114,1993,1,6.25,2.25,6.25 2.25,6.38,2.13,6.38 2.13,1078,10,Tropical,Evergreen Forest,Evergreen,27,950,IRGA,Extraction,Mature,1610,1111,499,0.309937888,NA,NA,NA,NA,NA,NA,6.38,NA,NA,16965,2934
115,1995.5,1,34.75,-79.25,34.75 -79.25,34.63,-79.2,34.63 -79.2,1639,44.2,Temperate,Evergreen Forest,Evergreen,17,1210,IRGA,Extraction,Aggrading,1263,663,600,0.475059382,16.28333333,-0.465885417,0.5607062,101.8916667,10.9140625,14.0225593,34.63,-0.830890431,0.778321722,27405,1584
116,1995.5,1,34.75,-79.25,34.75 -79.25,34.63,-79.2,34.63 -79.2,1639,44.2,Temperate,Evergreen Forest,Evergreen,17,1210,IRGA,Extraction,Aggrading,1489,745,744,0.499664204,16.28333333,-0.465885417,0.5607062,101.8916667,10.9140625,14.0225593,34.63,-0.830890431,0.778321722,28581,1584
117,1995.5,1,34.75,-79.25,34.75 -79.25,34.63,-79.2,34.63 -79.2,1639,44.2,Temperate,Evergreen Forest,Evergreen,17,1210,IRGA,Extraction,Aggrading,1293,942,351,0.271461717,16.28333333,-0.465885417,0.5607062,101.8916667,10.9140625,14.0225593,34.63,-0.830890431,0.778321722,28581,1584
118,1995.5,1,34.75,-79.25,34.75 -79.25,34.63,-79.2,34.63 -79.2,1639,44.2,Temperate,Evergreen Forest,Evergreen,17,1210,IRGA,Extraction,Aggrading,1576,1062,514,0.326142132,16.28333333,-0.465885417,0.5607062,101.8916667,10.9140625,14.0225593,34.63,-0.830890431,0.778321722,26313,1584
129,1993,1,-35.25,148.75,-35.25 148.75,35.35,148.93,-35.35 148.93,1112,630,Temperate,Evergreen Forest,Evergreen,13,791,Alkali absorption,Extraction,Aggrading,987,274,713,0.722391084,11.26666667,-1.072135417,0.497962002,89.425,14.92291667,16.60197224,-35.35,-2.153046641,0.89886409,42328,14250
130,1994,1,53.75,-104.75,53.75 -104.75,53.92,-104.69,53.92 -104.69,1232,509,Boreal,Evergreen Forest,Evergreen,1.5,405,IRGA,Extraction,Mature,338,151,187,0.553254438,-0.225,-1.185416667,1.008890437,39.49166667,2.336458333,5.791579467,53.92,-1.174970664,0.40342334,72576,51030
131,1994,1,53.75,-106.25,53.75 -106.25,53.63,-106.2,53.63 -106.2,1232,596,Boreal,Deciduous Forest,Deciduous,1.5,405,IRGA,Extraction,Mature,905,314,591,0.653038674,-0.7,-1.218489583,0.993563296,41.76666667,4.657552083,6.553802072,53.63,-1.22638345,0.710664135,42624,21182
132,1994,1,53.75,-105.25,53.75 -105.25,53.99,-105.12,53.99 -105.12,1232,591,Boreal,Evergreen Forest,Evergreen,1.5,405,IRGA,Extraction,Mature,564,192,372,0.659574468,-0.225,-1.24375,0.968395411,40.125,3.17109375,6.15050785,53.99,-1.284341072,0.515582425,170496,101250
133,2004,1,45.75,-84.75,45.75 -84.75,45.59,-84.72,45.59 -84.72,3845,217,Temperate,Deciduous Forest,Deciduous,5.5,817,IRGA,Extraction,Aggrading,675,385,290,0.42962963,5.833333333,-0.258854167,1.060464525,72.3,10.30885417,7.83578822,45.59,-0.244095074,1.315611637,52470,19236
134,2004,1,45.75,-84.75,45.75 -84.75,45.59,-84.72,45.59 -84.72,3845,217,Temperate,Deciduous Forest,Deciduous,5.5,817,IRGA,Extraction,Aggrading,782,360,422,0.539641944,5.833333333,-0.258854167,1.060464525,72.3,10.30885417,7.83578822,45.59,-0.244095074,1.315611637,52470,19236
135,2004,1,45.75,-84.75,45.75 -84.75,45.59,-84.72,45.59 -84.72,3845,217,Temperate,Deciduous Forest,Deciduous,5.5,817,IRGA,Extraction,Aggrading,782,414,368,0.470588235,5.833333333,-0.258854167,1.060464525,72.3,10.30885417,7.83578822,45.59,-0.244095074,1.315611637,52470,19236
136,2004,1,45.75,-84.75,45.75 -84.75,45.59,-84.72,45.59 -84.72,3845,217,Temperate,Deciduous Forest,Deciduous,5.5,817,IRGA,Extraction,Mature,1090,447,643,0.589908257,5.833333333,-0.258854167,1.060464525,72.3,10.30885417,7.83578822,45.59,-0.244095074,1.315611637,52470,19236
137,2004,1,45.75,-84.75,45.75 -84.75,45.59,-84.72,45.59 -84.72,3845,217,Temperate,Deciduous Forest,Deciduous,5.5,817,IRGA,Extraction,Mature,930,456,474,0.509677419,5.833333333,-0.258854167,1.060464525,72.3,10.30885417,7.83578822,45.59,-0.244095074,1.315611637,52470,19236
149,2000,1,42.25,11.75,42.25 11.75,42.4,11.92,42.4 11.92,2129,140,Temperate,Deciduous Forest,Deciduous,14,755,IRGA,Exclusion,Mature,1097,494,604,0.550592525,16.54166667,0.511979167,0.684003561,70.00833333,7.173697917,13.34013574,42.4,0.748503657,0.537752993,21185,5984
150,1997,2,32.75,130.75,32.75 130.75,32.82,130.73,32.82 130.73,1665,35,Temperate,Evergreen Forest,Evergreen,16.2,1970,IRGA,Comparison,Mature,618,352,266,0.430420712,16.69166667,-0.403125,0.472919589,153.1791667,-9.776302083,30.25901604,32.82,-0.852417641,-0.323087244,24530,18954
151,1997,2,32.75,130.75,32.75 130.75,32.82,130.73,32.82 130.73,1665,35,Temperate,Evergreen Forest,Evergreen,16.2,1970,IRGA,Comparison,Mature,316,0,316,1,16.69166667,-0.403125,0.472919589,153.1791667,-9.776302083,30.25901604,32.82,-0.852417641,-0.323087244,24530,18954
172,1988,3,32.25,-81.25,32.25 -81.25,32.13,-81.42,32.13 -81.42,805,7.6,Temperate,Deciduous Forest,Deciduous,19,1258,Gas Chromatography,Extraction,Mature,881,554,327,0.371169126,19,-0.14375,0.517113652,105.7444444,2.328298611,16.45640208,32.13,-0.277985312,0.141482847,16725,1537
173,1988,3,32.25,-81.25,32.25 -81.25,32.13,-81.42,32.13 -81.42,805,7.6,Temperate,Deciduous Forest,Deciduous,19,1258,Gas Chromatography,Extraction,Mature,902,543,359,0.398004435,19,-0.14375,0.517113652,105.7444444,2.328298611,16.45640208,32.13,-0.277985312,0.141482847,16725,1537
174,1994,1,53.75,-106.25,53.75 -106.25,53.63,-106.2,53.63 -106.2,1382,596,Boreal,Deciduous Forest,Deciduous,0.5,406,IRGA,Subtraction,Mature,905,543,362,0.4,-0.7,-1.218489583,0.993563296,41.76666667,4.657552083,6.553802072,53.63,-1.22638345,0.710664135,41255,21182
181,1992.5,1,54.75,37.75,54.75 37.75,54.83,37.58,54.83 37.58,1343,176,Temperate,Deciduous Forest,Deciduous,5.4,670,Soil profile,Extraction,Mature,380,150,230,0.605263158,5.433333333,0.011458333,0.929192589,45.19166667,-6.810677083,7.489842334,54.83,0.012331495,-0.909321823,57038,11560
182,1992.5,1,54.75,37.75,54.75 37.75,54.83,37.58,54.83 37.58,1343,176,Temperate,Grassland,Deciduous,5.4,670,Soil profile,Extraction,Mature,190,50,140,0.736842105,5.433333333,0.011458333,0.929192589,45.19166667,-6.810677083,7.489842334,54.83,0.012331495,-0.909321823,57038,11560
183,1992.5,1,54.75,37.75,54.75 37.75,54.83,37.58,54.83 37.58,1343,176,Temperate,Agriculture,Deciduous,5.4,670,Soil profile,Extraction,Aggrading,150,25,125,0.833333333,5.433333333,0.011458333,0.929192589,45.19166667,-6.810677083,7.489842334,54.83,0.012331495,-0.909321823,57038,11560
184,1992.5,1,54.75,37.75,54.75 37.75,54.83,37.58,54.83 37.58,1343,176,Temperate,Deciduous Forest,Deciduous,5.4,670,Gas Chromatography,Extraction,Mature,640,410,230,0.359375,5.433333333,0.011458333,0.929192589,45.19166667,-6.810677083,7.489842334,54.83,0.012331495,-0.909321823,57038,11560
185,1992.5,1,54.75,37.75,54.75 37.75,54.83,37.58,54.83 37.58,1343,176,Temperate,Grassland,Deciduous,5.4,670,Gas Chromatography,Extraction,Mature,475,335,140,0.294736842,5.433333333,0.011458333,0.929192589,45.19166667,-6.810677083,7.489842334,54.83,0.012331495,-0.909321823,57038,11560
186,1992.5,1,54.75,37.75,54.75 37.75,54.83,37.58,54.83 37.58,1343,176,Temperate,Agriculture,Deciduous,5.4,670,Gas Chromatography,Extraction,Aggrading,175,50,125,0.714285714,5.433333333,0.011458333,0.929192589,45.19166667,-6.810677083,7.489842334,54.83,0.012331495,-0.909321823,57038,11560
251,1987,1,50.25,4.25,50.25 4.25,50.11,4.25,50.11 4.25,1123,256,Temperate,Deciduous Forest,Deciduous,8.4,1000,IRGA,Extraction,Mature,1773,1595,177,0.099830795,7.983333333,-1.478645833,0.687924721,85.64166667,12.21822917,11.59581905,50.11,-2.14942971,1.05367539,60040,9198
252,1988,1,50.25,4.25,50.25 4.25,50.11,4.25,50.11 4.25,1123,256,Temperate,Deciduous Forest,Deciduous,8.4,1000,IRGA,Extraction,Mature,1827,1645,183,0.100164204,9.275,-0.186979167,0.687924721,101.5833333,28.15989583,11.59581905,50.11,-0.271801784,2.428452505,60040,9198
253,1989,1,50.25,4.25,50.25 4.25,50.11,4.25,50.11 4.25,1123,256,Temperate,Deciduous Forest,Deciduous,8.4,1000,IRGA,Extraction,Mature,2018,1816,202,0.100099108,9.683333333,0.221354167,0.687924721,90.40833333,16.98489583,11.59581905,50.11,0.321770915,1.46474309,60040,9198
276,2004.5,1.5,45.25,127.75,45.25 127.75,45.37,127.53,45.37 127.53,3653,300,Temperate,Deciduous Forest,Deciduous,2.8,700,IRGA,Exclusion,Mature,785,524,261,0.332484076,-0.644444444,-4.034548611,0.713897797,41.83888889,-13.71605903,8.535495832,45.37,-5.651437266,-1.606943439,60040,33525
277,2004.5,1.5,45.25,127.75,45.25 127.75,45.37,127.53,45.37 127.53,3653,300,Temperate,Deciduous Forest,Deciduous,2.8,700,IRGA,Exclusion,Mature,813,626,187,0.2300123,-0.644444444,-4.034548611,0.713897797,41.83888889,-13.71605903,8.535495832,45.37,-5.651437266,-1.606943439,60040,33525
278,2004.5,1.5,45.25,127.75,45.25 127.75,45.37,127.53,45.37 127.53,3653,300,Temperate,Deciduous Forest,Deciduous,2.8,700,IRGA,Exclusion,Mature,786,485,301,0.382951654,-0.644444444,-4.034548611,0.713897797,41.83888889,-13.71605903,8.535495832,45.37,-5.651437266,-1.606943439,60040,33525
279,2004.5,1.5,45.25,127.75,45.25 127.75,45.37,127.53,45.37 127.53,3653,300,Temperate,Deciduous Forest,Deciduous,2.8,700,IRGA,Exclusion,Mature,781,536,245,0.313700384,-0.644444444,-4.034548611,0.713897797,41.83888889,-13.71605903,8.535495832,45.37,-5.651437266,-1.606943439,60040,33525
